Distillery;Lon;Lat;Region;District;Age;Score;Abv
Dufftown;3.13;57.44;HIGH;SPEY;10;71;40
Edradour;3.72;56.71;HIGH;MIDLAND;10;81;40
Fettercairn;2.59;56.86;HIGH;EAST;8;71;40
Glen Albyn;4.24;57.47;HIGH;SPEY;NA;67;40
Glenallachie;3.22;57.45;HIGH;SPEY;12;76;40
Glenburgie;3.49;57.63;HIGH;SPEY;NA;68;40
Glencadam;2.74;56.70;HIGH;EAST;NA;68;40
Glen Deveron;2.47;57.66;HIGH;SPEY;12;75;40
Glendronach;2.67;57.45;HIGH;SPEY;12;75;43
Glendullan;3.11;57.45;HIGH;SPEY;12;75;43
Glen Elgin;3.24;57.55;HIGH;SPEY;12;75;43
Glenesk;2.67;56.73;HIGH;EAST;12;66;40
Glenfarclas;3.30;57.43;HIGH;SPEY;10;86;40
Glenfiddich;3.11;57.45;HIGH;SPEY;NA;75;40
Glen Garioch;2.29;57.34;HIGH;EAST;10;77;43
Glenglassaugh;2.68;57.68;HIGH;SPEY;NA;76;40
Glengoyne;4.12;56.07;HIGH;WEST;10;74;40
Glen Grant;3.24;57.54;HIGH;SPEY;10;76;43
Glen Keith;2.95;57.52;HIGH;SPEY;NA;64;40
Glenkinchie;2.95;55.94;LOW;EAST;10;76;43
Glenlivet;3.33;57.36;HIGH;SPEY;12;85;40
Glenlochy;5.12;56.86;HIGH;WEST;NA;70;40
Glenlossie;3.29;57.56;HIGH;SPEY;NA;76;40
Glen Mhor;4.26;57.39;HIGH;SPEY;8;64;40
Glenmorangie;4.02;57.81;HIGH;NORTH;10;80;40
Glen Moray;3.32;57.64;HIGH;SPEY;12;75;40
Glen Ordie;4.45;57.52;HIGH;NORTH;12;75;40
Glenrothes;3.22;57.51;HIGH;SPEY;8;80;40
Glen Scotia;5.60;55.41;LOW;CAMPBEL;8;85;40
Glen Spey;3.19;57.51;HIGH;SPEY;8;73;40
Glentauchers;2.95;57.33;HIGH;SPEY;17;71;46
Glenturret;3.84;56.38;HIGH;MIDLAND;10;77;57.1
Glenugie;1.80;57.49;HIGH;EAST;NA;70;54.8
Glenury Royal;2.22;56.97;HIGH;EAST;12;76;40
Highland Park;2.96;58.98;HIGH;ORKNEY;12;90;40
Imperial;3.30;57.45;HIGH;SPEY;NA;76;40
Inchgower;2.98;57.67;HIGH;SPEY;12;75;40
Inchmurrin;4.59;55.99;HIGH;WEST;12;65;40
Inverleven;4.61;55.95;LOW;WEST;17;67;46
Jura;5.94;55.84;HIGH;JURA;10;71;40
Kinclaith;4.39;55.80;LOW;WEST;NA;69;40
Knockando;3.33;57.45;HIGH;SPEY;NA;76;43
Knockdhu;2.74;57.56;HIGH;SPEY;NA;73;40
Ladyburn;4.96;55.125;LOW;WEST;20;57;46
Lagavulin;6.10;55.63;ISLAY;SOUTH;12;89;43
Laphroaig;6.12;55.63;ISLAY;SOUTH;10;86;43
Linkwood;3.24;57.61;HIGH;SPEY;12;83;40
Littlemill;4.55;55.94;LOW;NORTHWEST;8;83;43
Lochnagar;3.20;57.04;HIGH;EAST;12;80;43
Lochside;2.51;56.74;HIGH;EAST;NA;71;40
Longmorn;3.24;57.56;HIGH;SPEY;12;85;40
Macallan;3.21;57.50;HIGH;SPEY;10;87;40
Millburn;4.14;57.43;HIGH;SPEY;NA;76;40
Miltonduff;3.37;57.66;HIGH;SPEY;12;76;43
Mortlach;3.11;57.44;HIGH;SPEY;12;81;40
North Port;2.47;56.71;HIGH;EAST;NA;64;40
Oban;5.47;56.77;HIGH;WEST;12;76;43
Port Ellen;6.18;55.63;ISLAY;SOUTH;NA;79;40
Pulteney;3.11;58.43;HIGH;NORTH;8;77;40
Rosebank;3.80;56.00;LOW;CENTRAL;8;76;40
Saint Magdalene;3.61;55.97;LOW;CENTRAL;18;67;40
Scapa;2.96;58.95;HIGH;ORKNEY;8;76;40
Singleton;3.06;57.55;HIGH;SPEY;NA;79;40
Speyburn;3.17;57.54;HIGH;SPEY;NA;71;40
Springbank;5.60;55.41;LOW;CAMPBEL;15;88;46
Springbank-Longrow;5.60;55.41;LOW;CAMPBEL;14;90;46
Strathisla;2.96;57.56;HIGH;SPEY;8;79;40
Talisker;6.35;57.29;HIGH;SKYE;10;90;45.8
Tamdhu;3.34;57.46;HIGH;SPEY;10;75;40
Tamnavulin;3.32;57.31;HIGH;SPEY;10;76;43
Teaninich;4.28;57.68;HIGH;NORTH;NA;71;40
Tobermory;6.08;56.61;HIGH;MULL;NA;67;40
Tomatin;3.99;57.33;HIGH;SPEY;10;75;40
Tomintoul;3.38;57.25;HIGH;SPEY;12;76;40
Tormore;3.41;57.38;HIGH;SPEY;10;76;43
Tullibardine;3.78;56.25;HIGH;MIDLAND;10;76;40
